video_id,comment,comment_date
xJlgtV8L7Jc,"This the the best decision ever. Nip off the bud while it's still young . Otherwise it will destroy the whole society and things will be out of hands . When drugs enters it damages humans mind , breaks home , Children become out of control .",2023-07-28T13:24:16Z
xJlgtV8L7Jc,The death penalty is a great deterrent to crime.,2023-07-28T12:59:28Z
xJlgtV8L7Jc,"I have no sympathy for drug traffickers because they chose to disregard Singapore law. Is it sad for the family? No, not even one respect should be given. The law is the law. You have a lot of choices, however you dig this grave for yourself.",2023-07-28T12:34:52Z
xJlgtV8L7Jc,Its not ok to deal drugs.  But its ok to execute people ...  Makes total sense.,2023-07-28T10:20:18Z
xJlgtV8L7Jc,"Force labor camps are a better punishment for basically anything, but still getting these disgusting creatures out of the world is still nice.",2023-07-28T10:19:44Z
xJlgtV8L7Jc,"Well done Singapore! Capital punishment should apply to those drug addicts and drug traffickers, this’s the only way to combat drug problems.",2023-07-28T10:09:19Z
xJlgtV8L7Jc,Is killing your prisoners justice?,2023-07-28T10:02:16Z
xJlgtV8L7Jc,If you have qualms about the death penalty just search for Philadelphia Kensington St and see how drugs have created entire neighbourhoods of addicts.,2023-07-28T09:02:24Z
xJlgtV8L7Jc,"Why not introduce the death penalty for stealing a chocolate bar, that will make those evil doers think twice!",2023-07-28T07:57:23Z
xJlgtV8L7Jc,you are executing mules. why not prosecute the govt of the country where the drugs came for drug xray or detection incompetence (abetting the commission of a crime). the singapore police should trace the drug main players in their country & the country where it came. singapore should file diplomatic protest against the govt of the country where it came why they ain't exercise extraordinary diligence in detecting the drug contraband. carriers & transporters are so poor they exchange their precious lives for a small piece of singaporean bread w/o even a thin spread of singaporean butter. the penalty is too harsh for a mule. go find & look for the big drug lords.,2023-07-28T07:48:58Z
xJlgtV8L7Jc,Im Chinese wolf warrior. Im have to fight to free Taiwan from oppressive democracy !! 😠😠,2023-07-28T06:49:07Z
xJlgtV8L7Jc,"Sheer barbarism. The use of killing as a community response to any individual action is hideous and, thankfully, is outlawed in most countries. It's long past time for Singapore to join the 21st century.",2023-07-28T06:23:40Z
xJlgtV8L7Jc,"Human Rights defending drug traffickers should look at Los Angeles and San Francisco.Drug addicts,crime and homeless rampant and out of control.",2023-07-28T06:19:05Z
xJlgtV8L7Jc,We need this in America it's cheaper than sending them to prison for 20 yrs. to save money also & preventing overcrowded place,2023-07-28T05:57:27Z
xJlgtV8L7Jc,I cannot find anywhere what saridewi djamani look like,2023-07-28T05:31:42Z
xJlgtV8L7Jc,"No One in the World Dares to Challenge our ministers on Death Penalty. Case in point, Billionaire Sir Richie Mc Branson also declined accepting invitation to debate in sunny singapore.😅 How about if debate were to be held on International Waters ? On his super yatch or Jet?",2023-07-28T05:11:24Z
xJlgtV8L7Jc,This should be a law in America.,2023-07-28T00:30:46Z
xJlgtV8L7Jc,"What if drugs are smuggled by someone else in your suitcase without you knowing?
There are still far too many barbaric states and people on this planet.

One should avoid going into criminal states like Singapore,  China, Iran and Saudia Arabia.",2023-07-27T23:34:35Z
xJlgtV8L7Jc,No sympathy for drug dealers.,2023-07-27T22:27:04Z
xJlgtV8L7Jc,"For a drug trafficker, one death is far too kind. - Lee Kuan Yew",2023-07-27T20:20:12Z
xJlgtV8L7Jc,So much for thinkin they were smarter than the law!,2023-07-27T19:44:30Z
xJlgtV8L7Jc,More females should be executed for the same crimes that the men are. I have no sympathy for them.,2023-07-27T18:36:29Z
xJlgtV8L7Jc,W singapore,2023-07-27T15:32:59Z
xJlgtV8L7Jc,What's there to protest? It's not like the law only came into place after they are caught...,2023-07-27T15:12:21Z
xJlgtV8L7Jc,"Simple..
Druggists just stay in your country if you can't stay clean or go else where they welcome druggists with no death penalty. Stay out of Singapore!! You'll never be welcome here!! 
We're not like the weak US authorities & politicians who dare not challenge their drug abused, guns, gun violence & all the problems that comes with it happening across their country to avoid losing votes or they're just simply incompetent..",2023-07-27T14:53:56Z
xJlgtV8L7Jc,Should apply to all countries,2023-07-27T14:21:32Z
xJlgtV8L7Jc,One life for the life of millions well i say let's do it...all those feminist out there fkk you all if a man gets executed a woman can as well,2023-07-27T14:15:48Z
xJlgtV8L7Jc,STOOPID group 1:07,2023-07-27T13:56:09Z
xJlgtV8L7Jc,Puffed the magic dragon going thru Changi airport they only lynch Ozzies there I'm from NZ 😂😅,2023-07-27T13:54:01Z
xJlgtV8L7Jc,Been thru Singa 3 times they won't hang her they'll Chicken out 🤣😆,2023-07-27T13:36:41Z
xJlgtV8L7Jc,"Tried to get a front seat for this execution,  nah all booked out",2023-07-27T13:28:19Z
xJlgtV8L7Jc,"i hope all the activist who support non death penalty will have their mothers, fathers, brothers and sisters anbd children all become addicts themselves.. and see how much of an activitist and compassion they have for these people who peddle them and destroy lives of other",2023-07-27T13:01:09Z
xJlgtV8L7Jc,"Let's GOOOOOOOOOO....life destroyers anyway, no pity should be given....dun forget, these drug traffickers came with eyes wide open!!!!",2023-07-27T11:47:04Z
xJlgtV8L7Jc,"lucky it is Singapore but China,haha",2023-07-27T11:11:35Z
xJlgtV8L7Jc,"spore has big kahunas...never mind outsiders"" criticisms sg hangs drug Traffcars..n users... don't come 2 spore if u deal with drugs ...go 2 friendly countries who weclome drugs...it is not human rights if u cause people misery n death..u die instead.",2023-07-27T10:58:35Z
xJlgtV8L7Jc,"Was she guilty, or did her government frame her for their own unnamed reasons? Death penalty is unholy in all situations.",2023-07-27T08:56:21Z
xJlgtV8L7Jc,"I agree with their government, in fact, they should change the law, to broke / amputate hand for stealing, leg for robbering, to reduce crime rate, a person who commit crime need to know they are ready for their punishment.",2023-07-27T08:14:12Z
xJlgtV8L7Jc,Why does this page protect racism? South China Morning Post showed an interview with Margaret Cho saying when Asians want to be productive they really want to be White. SCMP seems to agree with this antiwhiteism racism. Do they believe this is Asian self-hatred too?,2023-07-27T05:29:13Z
xJlgtV8L7Jc,"Stand Firm, Knock Drugs Out!",2023-07-27T05:01:13Z
xJlgtV8L7Jc,Welcome Richard Branson to Singapore to debate..😂,2023-07-27T04:30:15Z
xJlgtV8L7Jc,"I bet Singapore doesn’t have people strung out on dope like in Kensington Avenue in Philly , San Francisco, Seattle Portland.",2023-07-27T04:15:38Z
